"序号","优先级","优化阶段","模块","问题类型","当前现状","具体优化动作","涉及文件/目录","预估收益","实施成本","风险/注意事项","建议验收标准"
"1","P0","第一阶段","后台架构","单体文件过大","后台主文件 app_updated.py 已超过 2800 行，包含认证、录入、审批、上传、导出、管理员管理、数据库初始化等多类职责，修改一个点容易影响其他流程。","按业务边界拆分为 auth、entries、approval、upload、export、admin_users、db、utils 等模块；保留一个轻量入口文件只负责创建 Flask app 和注册路由。","nxr_admin/app_updated.py; nxr_admin/","显著降低后续改动回归概率，提升代码可读性和定位效率。","高","拆分过程中容易引入 import 循环和路由注册遗漏，必须先补最小回归测试。","后台登录、录入、审批、上传、导出、管理员管理 6 条主链路全部通过，本地 py_compile 和 smoke test 通过。"
"2","P0","第一阶段","数据访问层","SQL 分散","主站和后台大量直接写 sqlite 查询，字段映射、兼容逻辑、默认值处理散落在多个函数里，后续字段调整成本高。","为 cards、temp_cards、admin_users 抽统一的数据访问层和 service 层，集中处理字段读取、写入、排序、分页、状态迁移和图片路径规范化。","nxr_site/app.py; nxr_admin/app_updated.py","降低字段漂移和逻辑重复，后续新增字段或改排序时影响面更可控。","高","重构时要保证历史数据兼容，尤其是 language、front_image、back_image、approved_at、approval_sequence。","主站和后台不再直接散落核心 SQL；新增字段时只需改一层映射；现有页面输出不回归。"
"3","P0","第一阶段","卡片详情页","模板重复","card.html 和 card_simple.html 存在大段重复结构，之前已经出现一边加 Language 另一边遗漏的情况。","抽取共享卡片详情 partial 或统一为一套详情模板，通过参数控制简版和完整版差异。","nxr_site/templates/card.html; nxr_site/templates/card_simple.html; nxr_site/templates/components/","避免前端字段不一致，减少重复改动和线上遗漏。","中","合并模板时要注意 AI 模态框、子分数区块、详情字段顺序和移动端样式。","普通详情页和简版详情页的字段顺序、语言显示、图片加载和 AI 入口保持一致。"
"4","P0","第一阶段","部署流程","发布路径不统一","当前同时存在 Git 发布、rsync 同步和临时手工同步，容易造成本地、GitHub、服务器三方不一致。","统一正式发布流程，建议以 Git 为主；rsync 仅保留为紧急补丁工具；补充发布前检查、备份、重启、回滚和 smoke test 的固定步骤。","scripts/deploy_via_git.sh; scripts/sync_to_server.sh; GIT_DEPLOY_WORKFLOW.md; SSH.md","降低线上代码漂移和误同步风险，便于后续交接和追溯。","中","需要先清理远端工作区脏状态，保证远端仓库可以稳定按 Git 发布。","一次正式发布可以稳定完成：本地校验、Git 推送、远端拉取、服务重启、主站和后台 smoke test 全通过。"
"5","P0","第一阶段","后台安全","默认凭据和弱兜底配置","后台仍保留默认管理员账户和默认 secret fallback，虽然方便初始化，但线上长期保留风险较高。","将默认管理员和默认 secret 改为仅初始化阶段生效；运行期若缺失关键环境变量则显式报错；补充强密码和角色最小权限约束。","nxr_admin/app_updated.py; scripts/manage_admin_users.py; nxr_admin/ACCOUNTS.md","显著降低后台暴露风险，避免误部署时直接使用默认凭据。","中","实施前要先确认线上现有管理员表状态，避免锁死后台。","线上无默认明文凭据生效路径；缺少关键 secret 时服务拒绝启动并给出明确日志。"
"6","P1","第二阶段","测试体系","自动化测试薄弱","目前主要依赖 py_compile、局部脚本和人工点页面，复杂业务链路缺少稳定回归测试。","补 pytest 或最小化 Flask test client 测试，优先覆盖 verify、card、AI 接口、录入、审批、批量审批、上传、导出、管理员编辑、分页和排序。","nxr_site/app.py; nxr_admin/app_updated.py; tests/","减少每次发版人工回归成本，排序和状态类问题更容易提前发现。","中","需要先抽一层可测函数和测试用数据库夹具。","核心链路至少具备 15 到 20 个稳定测试用例，CI 或本地一键执行可复现。"
"7","P1","第二阶段","图片处理链路","原图与展示图职责混杂","当前上传图、展示图、线上图和手工修正图容易混在一起，后续很难追溯哪张是原图、哪张是发布图。","建立原图保留、展示图生成、修正版覆盖策略和版本记录；至少区分 source、published、manual_fix 三类文件。","nxr_admin/app_updated.py; nxr_site/static/; nxr_admin/uploads/; Data/","降低图片修图争议和误覆盖风险，后续可支持审计和回滚。","中","会涉及现有图片命名规则，需要设计兼容迁移方案。","同一 cert_id 的图片能明确查到原图、发布图和修正历史，手动替换不再覆盖唯一副本。"
"8","P1","第二阶段","AI 内容接口","提示词和缓存耦合在入口文件","AI 提示词、语言映射、缓存键和 HTML 清洗都集中在主站入口文件里，扩展品牌或多模型时维护成本高。","把 AI 配置、提示词模板、语言映射、缓存策略和第三方请求封装为单独模块，并为品牌提示扩展预留配置文件。","nxr_site/app.py","后续新增品牌、语言和提示词版本时改动更小，接口更稳定。","中","重构时要保留现有 prompt hash 机制，避免缓存命中失效不可控。","AI 模块可单独测试；新增一个语言或品牌提示无需修改主路由逻辑。"
"9","P1","第二阶段","外部调用稳定性","第三方依赖缺少更强降级","DeepSeek 和邮件调用有超时，但仍直接挂在请求链路里，异常时可能拖慢用户请求或造成体验抖动。","为 AI 和邮件增加更清晰的超时、失败分级、重试边界和日志；邮件建议改为任务队列或最小后台线程池管理。","nxr_site/app.py","减少外部服务波动对页面接口的直接影响。","中","引入任务队列会增加部署复杂度；可先做轻量异步和日志分级。","第三方接口失败时主流程可控返回，日志能明确区分网络错误、配置错误和模型返回异常。"
"10","P1","第二阶段","配置管理","环境变量与业务常量分散","主站和后台的配置、语言映射、品牌映射、服务端口、模型名等分散在多个文件中，不便统一管理。","建立集中配置模块，按 site、admin、ai、mail、security 分类；把运行期配置与业务字典分开。","nxr_site/app.py; nxr_admin/app_updated.py; PROJECT_CONFIG.md","提升配置一致性，减少线上环境和本地环境行为差异。","低到中","整理配置时要区分必须项和可选项。","主站和后台关键配置来源清晰；缺失必须项时日志明确；文档与代码一致。"
"11","P1","第二阶段","数据库治理","缺少更清晰的数据迁移机制","当前数据库初始化和字段兼容逻辑直接写在代码里，随着字段增加，迁移会越来越难维护。","引入轻量 migration 机制，至少对 cards、temp_cards、admin_users 的 schema 变更建立版本化迁移脚本。","nxr_site/init_db.py; nxr_admin/app_updated.py; Data/","降低未来 schema 演进风险，避免上线时靠手写 if/alter 拼接。","中","SQLite 迁移要特别注意历史库兼容和重复执行安全。","新环境和老环境都能稳定升级到目标 schema，迁移脚本可重复执行且不报错。"
"12","P2","第三阶段","后台可观测性","日志与健康检查不足","现在更多依赖人工 curl 和页面查看，缺少统一健康检查和关键业务日志分类。","增加 site 和 admin 健康检查接口；为登录失败、审批、上传失败、导出失败、AI 请求失败增加结构化日志。","nxr_site/app.py; nxr_admin/app_updated.py; scripts/*.service","降低问题排查时间，出现线上异常时更快定位。","低到中","日志过多会噪音化，要先定义关键事件。","服务异常时可通过健康检查快速发现；关键失败场景日志能定位到 cert_id 或 entry_id。"
"13","P2","第三阶段","文档体系","文档分散且有重复说明","部署、配置、后台规则、筛选排序、清理说明散落在多份 md 中，长期会出现文档过时和冲突。","收敛为 4 类核心文档：部署、配置、数据库结构、后台业务规则；历史说明归档。","GIT_DEPLOY_WORKFLOW.md; PROJECT_CONFIG.md; TOOLS.md; nxr_admin/*.md","降低沟通成本，后续接手或回看决策更方便。","低","需要先确定哪些文档是真正长期维护的。","新成员只看核心 4 份文档即可完成本地启动、发布和关键业务理解。"
"14","P2","第三阶段","前端资源管理","静态资源命名和样例资源较乱","主站 static 下混有样例图、压缩图、旧图和正式图，命名规则并不统一。","整理 static 目录结构，区分 demo、brand_assets、published_cards、shared_images；补资源命名规范。","nxr_site/static/","减少误用测试资源、误删正式资源和前端引用混乱。","低","整理时要防止删掉线上仍在引用的旧资源。","静态目录结构按职责清晰分层，模板里不再直接引用模糊命名的历史样例资源。"
"15","P2","第三阶段","业务规则固化","关键业务逻辑依赖人工记忆","审批排序、批量审核顺序、上传状态、客户端推送状态、语言显示等业务规则，部分还依赖口头约定和历史上下文。","把关键规则沉淀为代码注释、测试用例和规则文档三份一致来源，避免后续再次反复确认。","nxr_admin/app_updated.py; nxr_site/app.py; nxr_admin/FILTER_SORT_GUIDE.md","减少需求反复解释成本，保证多轮迭代不把关键规则改坏。","低","规则沉淀必须以当前真实业务为准，不能抄旧文档。","关键业务点都能在代码、测试、文档三处找到一致说明，修改前后可比对。"
